Date,central,adverse,favorable
2020-01-31,0.028856272561287956,0.028797420073902354,0.029081242681129844
2020-04-30,0.02913906450720804,0.029376305920801635,0.029166427133687604
2020-07-31,0.027702181852369896,0.02872372586903655,0.027524157410633444
2020-10-31,0.02755716609381286,0.028759204123364586,0.027322693988562463
2021-01-31,0.02709369784677912,0.028422023772913356,0.02689160463627257
2021-04-30,0.02822936722368207,0.03159837424354227,0.027781671635817552
2021-07-31,0.029108769167363338,0.03652912079851593,0.02783188956326588
2021-10-31,0.03060116599838271,0.034456684026244154,0.02861083409378474
2022-01-31,0.03189883141916827,0.03535493057889561,0.029266591305475112
2022-04-30,0.03294063699612507,0.03636923776791098,0.029840428881613274
2022-07-31,0.03363932411272262,0.03926239606665062,0.03005215781504947
2022-10-31,0.034348667158433696,0.040171665662789735,0.030170693328277466
